Date ;Ambient temperature (C);Global plane of array irradiance (W/m^2);m-Si module temperature (C);DC power of m-Si (W)
18/06/2016 7:00;18.25;114.62;18.65;204
18/06/2016 7:05;18.58;124.79;19.04;211
18/06/2016 7:10;18.85;136.82;19.43;272
18/06/2016 7:15;18.75;150.38;19.67;299
18/06/2016 7:20;18.82;164.75;20.20;331
18/06/2016 7:25;19.13;180.81;20.58;351
18/06/2016 7:30;19.11;196.14;20.61;395
18/06/2016 7:35;19.33;214.69;21.37;432
18/06/2016 7:40;19.43;231.37;21.70;467
18/06/2016 7:45;19.62;248.57;21.79;502
18/06/2016 7:50;19.88;265.93;22.14;541
18/06/2016 7:55;20.06;284.83;22.42;581
18/06/2016 8:55;22.32;488.28;28.04;994
18/06/2016 9:00;22.15;515.18;28.69;1045
18/06/2016 9:05;22.49;529.16;29.80;1073
18/06/2016 9:15;22.96;561.79;30.01;1144
18/06/2016 9:20;23.30;577.82;30.91;1169
18/06/2016 9:25;22.99;594.13;31.19;1195
18/06/2016 9:30;23.45;602.29;31.65;1224
18/06/2016 9:35;23.58;625.51;31.88;1260
18/06/2016 9:40;23.53;636.97;32.45;1285
18/06/2016 9:45;23.52;658.20;32.34;1323
18/06/2016 9:50;23.96;673.77;32.20;1347
18/06/2016 9:55;24.30;679.04;33.17;1348
18/06/2016 10:00;24.43;697.78;33.92;1388
18/06/2016 10:05;25.14;707.09;34.37;1399
18/06/2016 10:10;24.59;724.13;34.31;1425
18/06/2016 10:15;24.74;735.90;34.17;1455
18/06/2016 10:20;24.87;747.23;34.47;1477
18/06/2016 10:25;24.67;757.32;34.31;1494
18/06/2016 10:30;24.65;763.95;34.59;1503
18/06/2016 10:35;24.74;776.90;34.74;1532
18/06/2016 10:40;24.48;789.29;35.36;1546
18/06/2016 10:45;24.45;796.20;34.30;1567
18/06/2016 10:50;23.92;809.56;34.20;1593
18/06/2016 10:55;24.52;814.11;34.57;1601
18/06/2016 11:00;25.25;828.32;35.27;1615
18/06/2016 11:05;24.89;839.17;34.63;1649
18/06/2016 11:10;24.80;842.31;34.99;1648
18/06/2016 11:15;24.82;851.25;34.95;1671
18/06/2016 11:20;24.89;859.17;34.92;1689
18/06/2016 11:25;24.95;866.84;35.49;1695
18/06/2016 11:30;25.52;870.28;35.87;1705
18/06/2016 11:35;25.60;880.18;36.53;1705
18/06/2016 11:40;26.01;880.67;37.08;1710
18/06/2016 11:45;25.98;886.67;36.52;1709
18/06/2016 11:50;25.90;896.47;36.89;1734
18/06/2016 11:55;25.97;896.11;36.93;1732
18/06/2016 12:00;25.81;902.01;37.20;1743
18/06/2016 12:05;25.38;893.27;36.79;1745
18/06/2016 12:10;25.55;907.31;36.55;1761
18/06/2016 12:15;25.87;908.49;36.93;1758
18/06/2016 12:20;25.36;908.00;36.37;1759
18/06/2016 12:25;25.35;906.12;36.60;1756
18/06/2016 12:30;25.99;908.51;37.05;1756
18/06/2016 12:35;25.12;904.64;36.85;1753
18/06/2016 12:40;25.72;910.89;36.37;1763
18/06/2016 12:45;25.09;910.46;36.12;1760
18/06/2016 12:50;25.50;907.25;36.40;1752
18/06/2016 12:55;25.00;904.28;35.82;1757
18/06/2016 13:00;24.73;901.69;35.15;1748
18/06/2016 13:05;24.95;897.15;35.36;1743
18/06/2016 13:10;25.52;889.74;36.03;1730
18/06/2016 13:15;25.11;894.95;35.28;1736
18/06/2016 13:20;24.70;888.75;35.31;1727
18/06/2016 13:25;24.89;886.81;35.58;1727
18/06/2016 13:30;25.00;876.10;35.05;1709
18/06/2016 13:35;25.44;874.49;34.59;1709
18/06/2016 13:40;25.15;867.33;35.12;1690
18/06/2016 13:45;25.31;861.02;35.24;1678
18/06/2016 13:50;25.36;852.30;35.53;1660
18/06/2016 13:55;25.28;843.24;35.14;1637
18/06/2016 14:00;25.45;839.80;35.43;1641
18/06/2016 14:05;25.34;833.05;35.39;1622
18/06/2016 14:10;25.46;821.79;35.29;1599
18/06/2016 14:15;25.51;816.60;34.86;1599
18/06/2016 14:20;25.56;804.12;34.35;1582
18/06/2016 14:25;25.60;800.70;34.39;1565
18/06/2016 14:30;25.50;785.70;33.60;1545
18/06/2016 14:35;25.68;772.79;33.63;1517
18/06/2016 14:40;25.37;764.41;33.00;1510
18/06/2016 14:45;25.66;750.62;33.19;1479
18/06/2016 14:50;25.59;736.80;32.89;1462
18/06/2016 14:55;25.16;729.90;32.23;1447
18/06/2016 15:00;25.36;712.76;32.97;1407
18/06/2016 15:05;25.09;702.47;32.22;1393
18/06/2016 15:10;25.27;684.81;32.29;1364
18/06/2016 15:15;25.44;677.69;31.99;1347
18/06/2016 15:20;25.04;665.65;31.60;1323
18/06/2016 15:25;24.89;651.37;31.28;1299
18/06/2016 15:30;24.87;637.07;30.76;1272
18/06/2016 15:35;24.97;620.22;30.88;1237
18/06/2016 15:40;24.56;604.65;31.00;1204
18/06/2016 15:45;25.03;591.16;31.13;1175
18/06/2016 15:50;24.93;572.03;30.72;1146
18/06/2016 15:55;24.89;557.23;30.65;1104
18/06/2016 16:00;24.82;541.24;30.03;1080
18/06/2016 16:05;24.70;519.99;29.71;1042
18/06/2016 16:10;24.57;507.59;29.56;1018
18/06/2016 16:15;24.54;489.97;29.58;983
18/06/2016 16:20;24.44;473.29;29.19;952
18/06/2016 16:25;24.30;454.14;28.90;911
18/06/2016 16:30;24.34;437.58;28.41;876
18/06/2016 16:35;24.26;421.39;28.18;846
18/06/2016 16:40;24.45;403.05;28.32;807
18/06/2016 16:45;24.56;381.47;28.38;761
18/06/2016 16:50;24.51;363.30;28.19;727
18/06/2016 16:55;24.22;343.88;27.68;689
18/06/2016 17:00;24.32;326.01;27.45;653
18/06/2016 17:05;24.35;307.69;27.34;615
18/06/2016 17:10;23.93;289.22;26.69;577
18/06/2016 17:15;24.15;274.41;26.44;545
18/06/2016 17:20;24.11;256.33;26.49;507
18/06/2016 17:25;23.89;240.23;26.15;476
18/06/2016 17:30;23.99;223.01;25.79;440
18/06/2016 17:35;23.89;205.98;25.90;408
18/06/2016 17:40;23.84;192.09;25.53;375
18/06/2016 17:45;23.66;175.20;25.77;335
18/06/2016 17:50;23.77;160.97;25.37;316
18/06/2016 17:55;23.70;146.78;24.85;285
18/06/2016 18:00;23.75;133.05;24.87;259
19/06/2016 7:00;16.69;101.03;16.87;205
19/06/2016 7:05;16.99;125.91;17.12;250
19/06/2016 7:10;17.21;143.75;17.41;262
19/06/2016 7:15;17.80;153.80;17.82;306
19/06/2016 7:20;18.34;167.53;18.18;341
19/06/2016 7:25;18.64;182.97;18.67;355
19/06/2016 8:45;22.74;490.83;29.75;1002
19/06/2016 8:55;22.82;525.90;30.01;1064
19/06/2016 9:00;23.29;543.67;30.93;1104
19/06/2016 9:05;23.31;561.57;31.21;1134
19/06/2016 9:10;23.73;575.84;31.81;1146
19/06/2016 9:15;23.87;591.65;32.04;1187
19/06/2016 9:20;23.52;611.47;32.28;1232
19/06/2016 9:25;23.82;628.35;32.49;1259
19/06/2016 9:30;24.22;643.63;33.11;1285
19/06/2016 9:35;24.73;658.74;33.82;1309
19/06/2016 9:40;24.72;672.44;34.42;1325
19/06/2016 9:45;25.02;688.46;34.16;1360
19/06/2016 9:50;24.80;699.05;35.23;1372
19/06/2016 9:55;24.13;719.97;34.76;1412
19/06/2016 10:00;24.61;727.75;34.72;1422
19/06/2016 10:05;23.94;743.88;34.55;1430
19/06/2016 10:10;24.04;754.84;34.69;1486
19/06/2016 10:15;24.65;764.44;35.17;1496
19/06/2016 10:20;23.80;782.42;34.83;1534
19/06/2016 10:25;23.53;793.84;34.35;1557
19/06/2016 10:30;23.80;805.91;34.51;1582
19/06/2016 10:35;24.01;816.83;34.82;1601
19/06/2016 10:40;23.67;827.93;34.82;1622
19/06/2016 10:45;24.02;835.00;34.55;1634
19/06/2016 10:50;24.08;841.70;34.94;1646
19/06/2016 10:55;23.98;856.33;35.05;1669
19/06/2016 11:00;24.36;865.55;36.31;1681
19/06/2016 11:05;24.19;875.12;35.98;1695
19/06/2016 11:10;24.18;879.44;36.22;1709
19/06/2016 11:15;24.63;891.43;36.43;1722
19/06/2016 11:20;24.63;897.48;36.56;1735
19/06/2016 11:25;24.57;904.65;36.98;1743
19/06/2016 11:30;25.05;905.48;37.71;1733
19/06/2016 11:35;25.09;913.29;37.31;1755
19/06/2016 11:40;25.02;918.29;37.79;1765
19/06/2016 11:45;25.07;923.52;37.66;1770
19/06/2016 11:50;24.26;928.99;37.04;1782
19/06/2016 11:55;24.71;928.94;36.86;1790
19/06/2016 12:00;24.39;933.21;37.43;1790
19/06/2016 12:05;24.45;939.20;37.39;1801
19/06/2016 12:10;24.07;939.23;36.97;1814
19/06/2016 12:15;24.19;940.72;37.29;1814
19/06/2016 12:20;24.71;943.24;37.46;1808
19/06/2016 12:25;24.26;945.51;36.95;1821
19/06/2016 12:30;24.26;946.34;36.32;1820
19/06/2016 12:35;24.16;946.20;36.64;1826
19/06/2016 12:40;24.22;945.10;36.40;1825
19/06/2016 12:45;24.11;944.84;36.91;1820
19/06/2016 12:50;24.39;943.80;36.83;1818
19/06/2016 12:55;24.29;940.99;36.57;1819
19/06/2016 13:00;24.41;936.64;36.42;1809
19/06/2016 13:05;24.03;938.16;36.27;1811
19/06/2016 13:10;24.52;931.12;36.76;1795
19/06/2016 13:15;24.53;931.50;36.75;1796
19/06/2016 13:20;24.68;929.36;36.98;1779
19/06/2016 13:25;24.63;924.91;36.48;1784
19/06/2016 13:30;24.44;917.99;36.16;1779
19/06/2016 13:35;24.60;912.63;36.01;1767
19/06/2016 13:40;24.36;905.51;36.25;1752
19/06/2016 13:45;25.16;900.16;36.50;1731
19/06/2016 13:50;24.70;891.92;36.39;1721
19/06/2016 13:55;24.38;884.16;36.11;1711
19/06/2016 14:00;24.20;875.42;35.86;1699
19/06/2016 14:05;23.82;867.37;35.20;1688
19/06/2016 14:10;23.84;860.75;35.13;1674
19/06/2016 14:15;24.34;851.33;35.29;1650
19/06/2016 14:20;24.52;841.11;35.20;1630
19/06/2016 14:25;24.16;832.64;35.26;1614
19/06/2016 14:30;24.48;822.89;35.54;1590
19/06/2016 14:35;25.02;811.01;35.75;1569
19/06/2016 14:40;24.03;797.40;34.52;1558
19/06/2016 14:45;24.19;788.45;34.70;1532
19/06/2016 14:50;23.94;777.51;33.98;1512
19/06/2016 14:55;23.91;765.13;33.55;1499
19/06/2016 15:00;24.22;752.53;33.70;1467
19/06/2016 15:05;24.01;738.38;33.01;1453
19/06/2016 15:10;24.20;724.28;32.95;1428
19/06/2016 15:15;24.28;713.02;33.22;1397
19/06/2016 15:20;24.22;697.68;32.55;1367
19/06/2016 15:25;24.53;681.88;33.11;1334
19/06/2016 15:30;24.23;667.96;32.35;1317
19/06/2016 15:35;24.38;650.82;32.35;1281
19/06/2016 15:40;24.44;635.60;32.07;1258
19/06/2016 15:45;24.57;620.00;32.02;1227
19/06/2016 15:50;24.15;604.21;31.57;1193
19/06/2016 15:55;24.46;585.87;31.92;1158
19/06/2016 16:00;24.32;570.26;31.24;1130
19/06/2016 16:05;24.25;552.16;31.05;1098
19/06/2016 16:10;24.31;535.25;30.79;1064
19/06/2016 16:15;24.15;516.21;30.45;1022
19/06/2016 16:20;23.89;498.44;29.89;992
19/06/2016 16:25;24.17;479.76;29.83;952
19/06/2016 16:30;24.16;461.46;29.34;921
19/06/2016 16:35;24.03;441.62;29.33;883
19/06/2016 16:40;23.83;422.82;29.19;845
19/06/2016 16:45;24.00;403.13;28.73;804
19/06/2016 16:50;23.82;384.81;28.17;768
19/06/2016 16:55;23.89;364.32;28.12;726
19/06/2016 17:00;24.00;345.85;27.64;689
19/06/2016 17:05;24.24;325.85;27.77;642
19/06/2016 17:10;24.09;305.88;27.62;603
19/06/2016 17:15;24.20;286.59;27.15;567
19/06/2016 17:20;24.22;266.47;26.99;527
19/06/2016 17:25;24.25;247.98;26.73;487
19/06/2016 17:30;24.39;228.84;26.77;449
19/06/2016 17:35;24.47;209.70;26.47;404
19/06/2016 17:40;24.57;190.45;26.79;359
19/06/2016 17:45;24.88;172.74;26.68;325
19/06/2016 17:50;24.74;155.05;26.22;300
19/06/2016 17:55;24.99;138.01;26.41;260
19/06/2016 18:00;24.44;121.63;25.87;221
20/06/2016 7:00;20.10;96.58;19.05;196
20/06/2016 7:05;20.41;110.53;19.16;212
20/06/2016 7:10;20.51;126.08;19.58;252
20/06/2016 7:15;20.60;141.63;20.08;288
20/06/2016 7:25;20.76;177.01;21.21;348
20/06/2016 8:35;24.22;446.14;30.28;911
20/06/2016 8:40;24.61;463.01;30.54;944
20/06/2016 8:45;24.79;480.17;31.06;974
20/06/2016 8:50;25.33;501.21;32.34;1004
20/06/2016 8:55;24.79;519.60;32.05;1044
20/06/2016 9:00;24.88;535.89;32.37;1078
20/06/2016 9:05;25.57;552.54;32.54;1112
20/06/2016 9:10;25.54;569.64;33.10;1139
20/06/2016 9:15;25.24;586.39;33.68;1160
20/06/2016 9:20;25.20;604.38;34.00;1192
20/06/2016 9:25;24.95;619.68;34.12;1224
20/06/2016 9:30;25.39;634.13;34.01;1247
20/06/2016 9:35;24.51;650.84;33.90;1278
20/06/2016 9:40;24.96;665.99;34.61;1310
20/06/2016 9:45;24.79;680.71;34.74;1339
20/06/2016 9:50;24.63;697.22;35.11;1362
20/06/2016 9:55;24.63;711.80;35.24;1391
20/06/2016 10:00;23.71;725.37;34.57;1427
20/06/2016 10:05;24.25;737.36;34.83;1446
20/06/2016 10:10;24.21;751.11;34.67;1468
20/06/2016 10:15;24.09;762.56;35.20;1494
20/06/2016 10:20;24.75;774.62;35.77;1504
20/06/2016 10:25;24.47;786.54;35.91;1531
20/06/2016 10:30;24.43;797.49;36.00;1547
20/06/2016 10:35;24.16;808.29;35.83;1565
20/06/2016 10:40;24.28;817.02;35.55;1588
20/06/2016 10:45;24.42;828.66;36.05;1602
20/06/2016 10:50;24.45;836.96;36.78;1615
20/06/2016 10:55;24.51;848.22;36.62;1638
20/06/2016 11:00;24.65;855.68;36.99;1644
20/06/2016 11:05;24.63;863.83;36.96;1665
20/06/2016 11:10;24.66;872.19;37.61;1670
20/06/2016 11:15;24.69;879.94;38.04;1685
20/06/2016 11:20;24.46;886.94;37.37;1698
20/06/2016 11:25;24.99;893.26;37.85;1711
20/06/2016 11:30;24.50;899.55;37.53;1726
20/06/2016 11:35;24.30;903.86;37.82;1735
20/06/2016 11:40;24.86;909.60;37.71;1740
20/06/2016 11:45;24.90;915.09;37.56;1751
20/06/2016 11:50;24.70;918.91;38.05;1755
20/06/2016 11:55;24.60;923.11;38.26;1759
20/06/2016 12:00;24.61;926.13;38.21;1772
20/06/2016 12:05;25.08;927.85;38.29;1759
20/06/2016 12:10;24.83;932.77;38.98;1774
20/06/2016 12:15;25.01;935.33;39.25;1773
20/06/2016 12:20;25.25;933.72;39.20;1769
20/06/2016 12:25;25.09;939.77;39.40;1781
20/06/2016 12:30;25.58;939.43;39.30;1776
20/06/2016 12:35;25.23;937.81;39.04;1785
20/06/2016 12:40;25.38;937.77;38.64;1779
20/06/2016 12:45;25.37;937.26;38.87;1776
20/06/2016 12:50;24.88;935.74;38.09;1789
20/06/2016 12:55;24.56;936.55;37.62;1795
20/06/2016 13:00;24.97;932.90;37.58;1791
20/06/2016 13:05;24.96;931.44;37.52;1784
20/06/2016 13:10;24.65;930.03;37.02;1782
20/06/2016 13:15;25.49;925.99;38.07;1765
20/06/2016 13:20;25.30;922.30;38.12;1762
20/06/2016 13:25;24.68;917.85;37.16;1764
20/06/2016 13:30;24.81;913.39;37.08;1750
20/06/2016 13:35;25.15;909.10;36.88;1742
20/06/2016 13:40;25.01;902.48;37.57;1722
20/06/2016 13:45;24.54;896.70;37.35;1715
20/06/2016 13:50;25.19;886.74;36.82;1709
20/06/2016 13:55;25.58;880.80;36.84;1692
20/06/2016 14:00;25.17;874.77;36.54;1682
20/06/2016 14:05;24.83;868.17;36.30;1673
20/06/2016 14:10;25.41;859.00;36.54;1655
20/06/2016 14:15;25.12;853.09;36.29;1648
20/06/2016 14:20;25.12;840.83;35.97;1628
20/06/2016 14:25;25.10;828.41;36.06;1603
20/06/2016 14:30;24.69;819.82;35.28;1592
20/06/2016 14:35;24.54;808.30;34.70;1577
20/06/2016 14:40;24.92;797.73;34.66;1552
20/06/2016 14:45;24.71;789.09;34.67;1535
20/06/2016 14:50;25.12;773.58;34.40;1509
20/06/2016 14:55;25.98;762.16;35.31;1479
20/06/2016 15:00;25.85;749.30;35.25;1459
20/06/2016 15:05;25.90;736.69;35.18;1426
20/06/2016 15:10;25.04;722.98;34.67;1414
20/06/2016 15:15;25.71;707.26;34.72;1375
20/06/2016 15:20;25.73;691.82;34.50;1351
20/06/2016 15:25;26.23;678.39;34.28;1324
20/06/2016 15:30;26.10;662.34;34.57;1293
20/06/2016 15:35;26.02;648.45;33.77;1269
20/06/2016 15:40;25.74;632.81;33.74;1238
20/06/2016 15:45;26.56;616.57;34.06;1206
20/06/2016 15:50;26.45;601.73;33.16;1179
20/06/2016 15:55;26.37;585.36;33.31;1150
20/06/2016 16:00;26.76;568.96;33.25;1113
20/06/2016 16:05;27.08;551.68;33.36;1082
20/06/2016 16:10;26.49;533.68;33.20;1046
20/06/2016 16:15;26.52;515.64;33.06;1012
20/06/2016 16:20;26.39;497.82;32.58;973
20/06/2016 16:25;25.98;478.91;32.05;943
20/06/2016 16:30;26.18;460.58;31.64;909
20/06/2016 16:35;26.11;442.24;31.08;874
20/06/2016 16:40;25.97;422.25;30.84;836
20/06/2016 16:45;25.80;403.14;30.50;796
20/06/2016 16:50;25.87;383.33;29.82;755
20/06/2016 16:55;25.66;363.91;29.75;721
20/06/2016 17:00;25.92;343.62;29.56;682
20/06/2016 17:05;26.31;323.74;29.48;635
20/06/2016 17:10;26.64;304.96;29.60;602
20/06/2016 17:15;26.79;286.45;29.37;565
20/06/2016 17:20;26.73;266.83;29.41;520
20/06/2016 17:25;26.70;247.04;29.10;482
20/06/2016 17:30;26.76;227.10;28.92;444
20/06/2016 17:35;26.85;207.52;28.65;406
20/06/2016 17:40;26.99;189.42;28.53;357
20/06/2016 17:45;26.82;171.17;28.08;328
20/06/2016 17:50;26.97;153.15;27.87;292
20/06/2016 17:55;26.95;137.37;27.91;258
20/06/2016 18:00;26.87;121.19;27.57;223
21/06/2016 7:00;19.89;102.42;18.62;201
21/06/2016 7:05;20.08;117.72;19.00;212
21/06/2016 7:10;20.65;131.16;19.33;258
21/06/2016 7:15;21.19;144.64;19.69;287
21/06/2016 7:25;21.61;176.20;21.64;350
21/06/2016 7:55;22.84;285.46;26.65;462
21/06/2016 8:05;23.84;324.02;28.98;662
21/06/2016 8:10;22.94;339.27;29.28;691
21/06/2016 8:20;22.14;381.22;29.45;778
21/06/2016 8:25;22.13;399.84;30.07;816
21/06/2016 8:30;22.31;420.50;30.19;853
21/06/2016 8:35;22.52;438.12;30.70;885
21/06/2016 8:40;22.81;456.79;31.17;920
21/06/2016 8:45;22.77;475.78;31.63;957
21/06/2016 8:50;22.58;492.85;31.89;991
21/06/2016 8:55;22.89;512.70;32.43;1031
21/06/2016 9:00;22.48;531.19;32.39;1068
21/06/2016 9:05;22.37;548.32;32.52;1090
21/06/2016 9:10;22.27;566.41;32.48;1133
21/06/2016 9:15;21.84;581.31;32.80;1164
21/06/2016 9:20;22.24;599.19;33.78;1193
21/06/2016 9:25;22.24;616.78;34.29;1220
21/06/2016 9:30;22.36;636.41;34.50;1248
21/06/2016 9:35;22.82;645.15;35.99;1255
21/06/2016 9:40;22.10;677.62;36.11;1344
21/06/2016 9:45;21.95;670.36;36.35;1343
21/06/2016 9:50;22.05;751.00;37.31;1460
21/06/2016 10:00;22.48;698.27;38.56;1132
21/06/2016 10:05;22.60;771.72;39.39;1519
21/06/2016 10:15;22.85;801.80;40.12;1527
21/06/2016 10:20;22.73;803.94;40.17;1534
21/06/2016 10:25;22.97;834.37;40.95;1539
21/06/2016 10:30;22.78;806.79;40.21;1547
21/06/2016 10:35;22.65;812.90;38.74;1611
21/06/2016 10:40;22.89;846.41;39.33;1659
21/06/2016 10:45;23.03;854.55;40.21;1619
21/06/2016 10:50;23.13;897.81;40.84;1664
21/06/2016 10:55;23.70;968.60;42.88;1953
21/06/2016 11:00;23.06;918.46;43.38;1637
21/06/2016 11:05;23.26;758.21;42.68;1261
21/06/2016 11:10;23.24;770.71;42.28;1428
21/06/2016 11:15;23.43;804.22;42.48;1414
21/06/2016 11:20;23.11;828.12;42.77;1504
21/06/2016 11:25;23.64;909.50;44.42;1713
21/06/2016 11:30;24.05;903.92;45.78;1542
21/06/2016 11:35;24.36;853.32;46.09;1529
21/06/2016 11:50;23.70;817.23;43.78;1482
21/06/2016 11:55;23.85;932.71;44.36;1735
21/06/2016 12:00;23.14;1025.90;43.33;1877
21/06/2016 12:15;23.20;831.81;42.71;1428
21/06/2016 12:20;23.94;673.84;42.72;1297
21/06/2016 12:25;23.91;729.20;42.63;1421
21/06/2016 12:30;24.21;809.78;43.03;1585
21/06/2016 12:35;24.01;661.08;42.21;1210
21/06/2016 12:40;24.01;685.30;41.87;1332
21/06/2016 12:45;24.00;730.37;42.26;1358
21/06/2016 12:50;24.55;739.79;43.10;1336
21/06/2016 12:55;25.01;724.58;44.01;1402
21/06/2016 13:00;24.40;700.88;44.44;1180
21/06/2016 13:05;23.93;707.78;42.63;1263
21/06/2016 13:10;24.06;740.26;42.35;1513
21/06/2016 13:15;23.88;817.82;42.50;1476
21/06/2016 13:20;24.05;767.34;43.03;1321
21/06/2016 13:25;24.28;775.38;44.12;1554
21/06/2016 13:30;24.93;913.04;45.05;1630
21/06/2016 13:35;24.71;632.44;43.24;1265
21/06/2016 13:40;24.96;657.95;42.99;1260
21/06/2016 13:45;24.95;905.77;43.08;1717
21/06/2016 13:55;24.69;925.68;44.80;1589
21/06/2016 14:05;24.86;972.40;44.39;1829
21/06/2016 14:10;24.81;608.97;43.47;1208
21/06/2016 14:20;24.71;1043.25;43.21;1794
21/06/2016 14:25;25.00;548.51;42.78;1060
21/06/2016 14:40;24.31;655.85;41.05;1224
21/06/2016 14:45;23.97;582.54;39.67;1095
21/06/2016 14:50;23.80;590.28;39.65;1112
21/06/2016 14:55;23.20;457.01;38.00;873
21/06/2016 15:00;23.81;527.53;37.61;988
21/06/2016 15:05;23.22;472.52;36.65;898
21/06/2016 15:10;22.80;397.74;35.61;779
21/06/2016 15:15;22.65;452.16;34.06;895
21/06/2016 15:20;22.53;406.63;33.89;782
21/06/2016 15:25;22.51;401.76;33.49;771
21/06/2016 15:30;22.00;351.98;32.81;662
21/06/2016 15:35;21.45;311.69;32.10;607
21/06/2016 15:40;21.61;266.19;30.88;532
21/06/2016 15:45;21.07;321.56;30.61;638
21/06/2016 15:50;21.45;320.08;30.44;611
21/06/2016 15:55;21.55;318.00;30.09;625
21/06/2016 16:00;21.20;214.95;29.45;428
21/06/2016 16:05;20.90;218.87;28.95;439
21/06/2016 16:15;19.91;219.72;25.72;430
21/06/2016 16:20;20.28;241.76;26.76;475
21/06/2016 16:25;20.26;213.52;26.45;415
21/06/2016 16:30;19.83;213.66;25.81;411
21/06/2016 16:35;19.64;218.46;25.57;435
21/06/2016 16:40;19.65;209.61;25.15;418
21/06/2016 16:45;19.62;219.13;24.96;444
21/06/2016 16:50;19.74;211.42;25.01;414
21/06/2016 16:55;19.95;195.38;24.89;356
21/06/2016 17:00;20.00;211.85;25.59;407
21/06/2016 17:05;19.92;171.94;25.43;310
21/06/2016 17:10;19.81;160.22;24.78;327
21/06/2016 17:15;19.72;179.87;24.66;344
21/06/2016 17:20;19.51;156.26;24.34;308
21/06/2016 17:30;19.29;127.25;23.18;257
21/06/2016 17:45;19.44;143.77;23.30;282
21/06/2016 17:50;19.51;124.84;23.40;253
21/06/2016 17:55;19.82;123.36;23.41;244
21/06/2016 18:00;19.98;116.29;23.39;229
22/06/2016 7:35;18.60;105.71;20.60;200
22/06/2016 7:40;18.66;109.07;20.69;208
22/06/2016 7:45;18.66;120.39;20.64;217
22/06/2016 7:50;18.72;125.75;20.97;255
22/06/2016 7:55;18.73;135.63;21.32;275
22/06/2016 8:05;18.81;164.15;21.64;326
22/06/2016 8:10;18.91;169.45;21.97;337
22/06/2016 8:15;18.87;179.91;22.09;362
22/06/2016 8:20;18.97;218.51;22.34;441
22/06/2016 8:25;19.02;212.11;22.81;429
22/06/2016 8:30;18.97;201.83;22.75;407
22/06/2016 8:40;19.12;234.17;23.15;474
22/06/2016 8:45;19.18;225.31;23.23;455
22/06/2016 8:50;19.13;228.38;23.49;462
22/06/2016 8:55;19.21;287.85;23.65;583
22/06/2016 9:00;19.39;248.94;24.08;500
22/06/2016 9:10;19.59;300.31;25.00;607
22/06/2016 9:15;19.91;364.85;25.71;719
22/06/2016 9:25;19.93;344.05;26.41;693
22/06/2016 9:30;20.20;360.47;26.84;724
22/06/2016 9:35;20.77;392.63;27.60;801
22/06/2016 9:40;20.43;361.55;27.81;716
22/06/2016 9:45;20.80;403.57;28.57;794
22/06/2016 9:50;20.69;393.73;28.69;788
22/06/2016 9:55;21.06;417.56;29.16;830
22/06/2016 10:00;21.13;448.59;29.65;876
22/06/2016 10:05;21.14;461.80;29.87;919
22/06/2016 10:10;21.64;449.90;32.55;895
22/06/2016 10:15;21.48;551.65;33.20;1084
22/06/2016 10:20;21.30;522.11;33.52;1035
22/06/2016 10:25;21.37;542.04;33.87;1055
22/06/2016 10:30;21.70;645.34;35.04;1271
22/06/2016 10:35;21.92;699.02;36.27;1341
22/06/2016 10:40;22.20;881.50;37.27;1630
22/06/2016 10:45;21.73;658.43;36.10;1240
22/06/2016 10:50;21.47;607.78;35.01;1213
22/06/2016 10:55;21.36;629.40;34.34;1178
22/06/2016 11:00;21.86;590.70;35.21;1171
22/06/2016 11:05;22.90;628.41;36.53;1251
22/06/2016 11:10;22.71;677.48;37.00;1270
22/06/2016 11:15;22.64;710.49;37.19;1408
22/06/2016 11:20;22.24;613.18;35.98;1184
22/06/2016 11:25;22.46;614.58;35.84;1211
22/06/2016 11:30;22.41;622.90;35.63;1202
22/06/2016 11:35;21.89;584.67;34.23;1119
22/06/2016 11:40;21.70;518.58;33.24;1006
22/06/2016 11:45;21.78;534.09;32.34;1060
22/06/2016 11:50;21.78;465.97;30.86;914
22/06/2016 11:55;21.98;473.39;31.05;924
22/06/2016 12:00;22.02;509.60;31.35;1027
22/06/2016 12:05;22.42;493.90;32.56;953
22/06/2016 12:10;22.39;598.28;33.31;1164
22/06/2016 12:15;22.59;680.27;34.55;1290
22/06/2016 12:20;22.86;746.50;34.93;1427
22/06/2016 12:25;23.65;700.27;37.54;1393
22/06/2016 12:30;23.75;698.12;37.88;1312
22/06/2016 12:35;23.35;764.51;37.85;1428
22/06/2016 12:40;23.37;543.83;37.09;1039
22/06/2016 12:45;23.33;421.58;35.22;808
22/06/2016 12:50;23.06;481.66;33.57;945
22/06/2016 12:55;22.90;556.48;33.40;1108
22/06/2016 13:00;22.62;558.42;33.44;1111
22/06/2016 13:05;22.42;512.92;32.53;1014
22/06/2016 13:10;22.78;581.05;33.69;1153
22/06/2016 13:15;22.94;508.06;33.97;980
22/06/2016 13:20;22.87;560.64;34.64;1089
22/06/2016 13:25;22.97;553.61;35.05;1059
22/06/2016 13:30;23.19;620.71;36.09;1184
22/06/2016 13:35;23.42;603.68;36.66;1147
22/06/2016 13:40;23.02;661.56;36.26;1257
22/06/2016 13:45;22.72;721.28;37.60;1352
22/06/2016 13:50;23.27;704.65;38.48;1331
22/06/2016 13:55;22.85;657.96;37.76;1251
22/06/2016 14:00;22.71;613.49;38.30;1190
22/06/2016 14:05;23.17;699.40;38.76;1281
22/06/2016 14:10;23.49;626.44;38.63;1183
